date,channel,campaign_name,campaign_variant,impressions,clicks,ctr,bounces,bounce_rate,sessions_avg_duration_sec,conversions,conversion_rate,revenue,spend,cpa,roas,avg_order_value,new_customers,returning_customers
2024-01-01,Email,Cart Abandonment,N/A,1399,47,0.03363,19,0.4043,62,2,0.0518,130.38,0.0,0.0,130.38,65.19,0,1
2024-01-01,Email,Weekly Newsletter,N/A,2345,69,0.02948,22,0.3188,156,6,0.0926,304.68,0.0,0.0,304.68,50.78,2,3
2024-01-01,Email,Flash Sale,Variant_B,1254,35,0.02824,14,0.4,102,2,0.08184,203.8,0.0,0.0,203.8,101.9,0,0
2024-01-01,Email,Re-engagement,Variant_B,1327,41,0.03142,23,0.561,229,3,0.09503,306.87,0.0,0.0,306.87,102.29,1,1
2024-01-01,Google Ads,Brand Search,N/A,3604,96,0.02672,49,0.5104,294,4,0.0466,221.56,140.04,35.01,1.58,55.39,2,1
2024-01-01,Google Ads,Generic Search,N/A,4893,109,0.02237,62,0.5688,54,3,0.02961,235.53,165.97,55.32,1.42,78.51,1,1
2024-01-01,Google Ads,Shopping Ads,N/A,4134,123,0.02983,49,0.3984,38,4,0.03429,548.04,139.03,34.76,3.94,137.01,1,2
2024-01-01,Google Ads,Performance Max,N/A,6143,141,0.02307,68,0.4823,144,5,0.03578,611.45,235.83,47.17,2.59,122.29,1,3
2024-01-01,Google Ads,Retargeting,N/A,5513,128,0.02333,68,0.5312,213,5,0.04572,399.3,207.32,41.46,1.93,79.86,1,1
2024-01-01,Facebook Ads,Retargeting,Variant_A,11094,165,0.01496,62,0.3758,56,2,0.01685,130.1,154.35,77.17,0.84,65.05,0,1
2024-01-01,Facebook Ads,Brand Awareness,Variant_A,9807,129,0.01319,39,0.3023,73,4,0.03401,520.96,148.17,37.04,3.52,130.24,2,1
2024-01-01,Instagram Ads,Stories Ads,N/A,3977,49,0.01252,27,0.551,131,0,0.01917,0.0,64.49,64.49,0.0,128.59,0,0
2024-01-01,Instagram Ads,Reels Ads,N/A,5183,100,0.01936,48,0.48,152,1,0.01754,49.86,87.64,87.64,0.57,49.86,0,0
2024-01-01,Instagram Ads,Shopping Ads,N/A,4229,58,0.01388,24,0.4138,60,0,0.01403,0.0,60.17,60.17,0.0,57.13,0,0
2024-01-01,Instagram Ads,Influencer Collab,N/A,3372,47,0.01419,25,0.5319,167,0,0.01325,0.0,46.0,46.0,0.0,123.51,0,0
2024-01-01,Display,Programmatic RTB,Variant_B,19314,71,0.00368,41,0.5775,87,0,0.00822,0.0,102.29,102.29,0.0,107.87,0,0
2024-01-01,Display,Premium Placement,Control,11961,42,0.00353,24,0.5714,147,0,0.0094,0.0,65.3,65.3,0.0,117.07,0,0
2024-01-01,Display,Retargeting Banner,N/A,15197,63,0.00416,30,0.4762,41,0,0.00741,0.0,76.63,76.63,0.0,103.77,0,0
2024-01-01,TikTok Ads,In-Feed Ads,N/A,11290,195,0.01733,93,0.4769,111,2,0.0153,102.92,146.89,73.44,0.7,51.46,0,1
2024-01-01,TikTok Ads,Spark Ads,N/A,11736,213,0.01817,128,0.6009,122,4,0.01986,167.76,131.97,32.99,1.27,41.94,2,2
2024-01-01,Newsletter,Monthly Digest,N/A,2177,105,0.04851,57,0.5429,64,14,0.1391,583.38,0.0,0.0,583.38,41.67,4,5
